"Date","Passages","Hospitalisations"
"2014-04-20","1070","222"
"2014-04-21","1079","200"
"2014-04-22","1165","256"
"2014-04-23","1018","225"
"2014-04-24","903","211"
"2014-04-25","1091","259"
"2014-04-26","1146","234"
"2014-04-27","1061","187"
"2014-04-28","972","246"
"2014-04-29","908","208"
"2014-04-30","944","210"
"2014-05-01","940","193"
"2014-05-02","1125","249"
"2014-05-03","1043","209"
"2014-05-04","1020","204"
"2014-05-05","1195","268"
"2014-05-06","984","228"
"2014-05-07","982","209"
"2014-05-08","1024","207"
"2014-05-09","937","221"
"2014-05-10","964","202"
"2014-05-11","1049","196"
"2014-05-12","1166","263"
"2014-05-13","922","222"
"2014-05-14","1023","216"
"2014-05-15","985","235"
"2014-05-16","1014","189"
"2014-05-17","1055","200"
"2014-05-18","1143","216"
"2014-05-19","1245","265"
"2014-05-20","1068","263"
"2014-05-21","1111","229"
"2014-05-22","928","226"
"2014-05-23","1134","256"
"2014-05-24","1196","218"
"2014-05-25","1265","233"
"2014-05-26","1226","248"
"2014-05-27","995","212"
"2014-05-28","1192","217"
"2014-05-29","1126","204"
"2014-05-30","1337","268"
"2014-05-31","1236","229"
"2014-06-01","1179","192"
"2014-06-02","1159","251"
"2014-06-03","1116","229"
"2014-06-04","1007","218"
"2014-06-05","1126","258"
"2014-06-06","1138","241"
"2014-06-07","1240","221"
"2014-06-08","1246","202"
"2014-06-09","1259","206"
"2014-06-10","1269","281"
"2014-06-11","1164","221"
"2014-06-12","1213","250"
"2014-06-13","1063","212"
"2014-06-14","1030","201"
"2014-06-15","1264","197"
"2014-06-16","1313","250"
"2014-06-17","1156","237"
"2014-06-18","1151","236"
"2014-06-19","1079","214"
"2014-06-20","1164","265"
"2014-06-21","1218","216"
"2014-06-22","1290","230"
"2014-06-23","1329","249"
"2014-06-24","1133","225"
"2014-06-25","1142","244"
"2014-06-26","1107","235"
"2014-06-27","1128","234"
"2014-06-28","1168","254"
"2014-06-29","1208","244"
"2014-06-30","1236","253"
"2014-07-01","985","208"
"2014-07-02","1092","227"
"2014-07-03","1041","233"
"2014-07-04","1114","200"
"2014-07-05","1216","205"
"2014-07-06","1324","187"
"2014-07-07","1233","260"
"2014-07-08","1059","222"
"2014-07-09","1020","212"
"2014-07-10","890","219"
"2014-07-11","1136","236"
"2014-07-12","1152","215"
"2014-07-13","1224","201"
"2014-07-14","1250","206"
"2014-07-15","1086","217"
"2014-07-16","1162","227"
"2014-07-17","1080","224"
"2014-07-18","1183","224"
"2014-07-19","1185","197"
"2014-07-20","1213","187"
"2014-07-21","1213","250"
"2014-07-22","1155","246"
"2014-07-23","1128","263"
"2014-07-24","1119","218"
"2014-07-25","1109","225"
"2014-07-26","1190","247"
"2014-07-27","1116","226"
"2014-07-28","1198","257"
"2014-07-29","908","214"
"2014-07-30","978","228"
"2014-07-31","1013","238"
"2014-08-01","1021","237"
"2014-08-02","936","191"
"2014-08-03","1068","176"
"2014-08-04","1075","234"
"2014-08-05","1063","237"
"2014-08-06","1011","228"
"2014-08-07","1033","238"
"2014-08-08","1038","229"
"2014-08-09","1110","200"
"2014-08-10","1069","177"
"2014-08-11","1150","268"
"2014-08-12","1091","238"
"2014-08-13","1006","245"
"2014-08-14","988","225"
"2014-08-15","926","167"
"2014-08-16","1149","213"
"2014-08-17","1058","190"
"2014-08-18","1203","255"
"2014-08-19","996","197"
"2014-08-20","957","230"
"2014-08-21","1003","206"
"2014-08-22","999","214"
"2014-08-23","1058","211"
"2014-08-24","1064","190"
"2014-08-25","1118","239"
"2014-08-26","982","191"
"2014-08-27","1057","241"
"2014-08-28","1042","243"
"2014-08-29","1098","231"
"2014-08-30","1146","201"
"2014-08-31","1048","177"
"2014-09-01","990","231"
"2014-09-02","899","211"
"2014-09-03","999","207"
"2014-09-04","1036","226"
"2014-09-05","1062","245"
"2014-09-06","1202","237"
"2014-09-07","1278","206"
"2014-09-08","1253","270"
"2014-09-09","1117","249"
"2014-09-10","1055","202"
"2014-09-11","1010","233"
"2014-09-12","1097","238"
"2014-09-13","1167","226"
"2014-09-14","1234","192"
"2014-09-15","1202","241"
"2014-09-16","1081","242"
"2014-09-17","1143","240"
"2014-09-18","1126","209"
"2014-09-19","1138","256"
"2014-09-20","1195","240"
"2014-09-21","1088","193"
"2014-09-22","1154","244"
"2014-09-23","1030","280"
"2014-09-24","1098","227"
"2014-09-25","1075","260"
"2014-09-26","1170","254"
"2014-09-27","1285","220"
"2014-09-28","1300","187"
"2014-09-29","1250","244"
"2014-09-30","1203","227"
"2014-10-01","1183","219"
"2014-10-02","1287","250"
"2014-10-03","1253","252"
"2014-10-04","1280","245"
"2014-10-05","1271","205"
"2014-10-06","1300","249"
"2014-10-07","1345","293"
"2014-10-08","1407","269"
"2014-10-09","1413","341"
"2014-10-10","1509","310"
"2014-10-11","1444","283"
"2014-10-12","1608","258"
"2014-10-13","1689","339"
"2014-10-14","1495","284"
"2014-10-15","1176","217"
"2014-10-16","1373","218"
"2014-10-17","1401","242"
"2014-10-18","1503","209"
"2014-10-19","1521","208"
"2014-10-20","1514","240"
"2014-10-21","1212","212"
"2014-10-22","1152","213"
"2014-10-23","1248","209"
"2014-10-24","1164","219"
"2014-10-25","1256","187"
"2014-10-26","1324","180"
"2014-10-27","1317","237"
"2014-10-28","937","180"
"2014-10-29","1049","216"
"2014-10-30","1109","214"
"2014-10-31","1200","207"
"2014-11-01","1395","201"
"2014-11-02","1369","194"
"2014-11-03","1462","251"
"2014-11-04","1260","218"
"2014-11-05","1215","219"
"2014-11-06","1330","219"
"2014-11-07","1257","270"
"2014-11-08","1370","235"
"2014-11-09","1373","201"
"2014-11-10","1470","216"
"2014-11-11","1233","188"
"2014-11-12","1381","211"
"2014-11-13","1296","222"
"2014-11-14","1332","303"
"2014-11-15","1419","259"
"2014-11-16","1342","187"
"2014-11-17","1347","223"
"2014-11-18","1310","214"
"2014-11-19","1325","254"
"2014-11-20","1367","207"
"2014-11-21","1319","209"
"2014-11-22","1385","219"
